3D small cj84ru87u.3bp6dj94cj84a86？	3D small 畫家有人會畫嗎？
cj06 good g4y4g65p4gj4	還 good 是事實陳述
w965j/ ru,6mp4ek3 good 5 c.4g41j6g4ul zo wu0 xk7？	台中捷運蓋 good 之後是不是要飛天了？
gp6au/6g;4gp  fast jp4vu84fu xji4w.4cl6a83wu62ji gl3	神明上身 fast 問下期樂透號碼是多少
fast fm4tj/ u 5 gjo3ejo3，ru,7ru, 5wu61u4	fast 去衝一隻水鬼，價差5w台幣
u.4 fast xk4gji c062u418 ej84a84?	有 fast 樂說幹的八卦嗎?
q;61u072u4s93 good large vup 2j/42j/4	旁邊的奶 good large 心動動
ai6u0 ao61i bk4xu;41u4g/ ao6 low ？ y4xul4s93x962k7？	無煙煤發熱量比生煤 low ？ 資料哪來的？
m g4 long 284xk7u3c.4	於是 long 大了以後
ejp3 good a84 284a86ek 	滾 good 嗎 大麻哥
pchomewjo4cji4m06up qu xj04vu,3cjo4qu  accept a83？	pchome退貨原因被亂寫會被 accept 嗎？
xj4g;4e0 5/ ao4 2u/32ji  close 5su/4ru.4tj x96	路上幹正妹 頂多 close 5年就出來
yp3ak71j4m/4vu03fu832; CPUru.4 good ？	怎麼不用顯卡當CPU就 good ？
c96 good wji6a8 xu;3ek4-6y3u6ek3u.3tj vu 	還 good 他媽兩個兒子一個有出息
long 2o3 ugly ，5k41o4y3u.4ao62;7eji  Eli 2.4yp3ak7104？	long 得 ugly ，這輩子又沒當過 Eli 斗怎麼辦？
25K5l31j62l4bp6，t8 vu84x96ul  open 23Kcj86bp6a87？	25K找不到人，接下來要 open 23K找人嗎？
cl4gj;  53g4ul42ji cj8 ru03a93 good u 2u032k7d.35l4	好爽 只是要多花錢買 good 一點的口罩
w8 hji c.4cjo4ru8 bj4l4d8  ao6 close vu42u 	他最後會加入奧咖 沒 close 係的
3r good vu;3184su3yji t/6fu0 au/42; 0.0	3r good 想把你作成簽名檔0.0
hot e.3jo6g6ak7ul4rul4 hot e.3？	hot 狗為什麼要叫 hot 狗？
St__r__leji65j/ g/ y94 buy 2u6q8 	St__r__l國中生在 buy 的吧
jo4gp6ak7a942;4xul62u6gj31u/31j6 sell 5/3wu0 ?	為什麼麥當勞的薯餅不 sell 整天?
87 fm  large a93g;  buy 1q93 cjo6ru87y4ru3586hji gj;3 u.4cl3t 	87 去 large 買場 buy 1排 回家自己炸最爽 又好吃
2u6sji45j/4 u6cp3x032k7bp454bp6 rm,62o3bp4g6bp6cp3 tired 2k7s935j/4	的那種 也很懶得認識人 覺得認識人很 tired 的那種
sm4np u456gji ru,3cp3 tired ？	女森一直說她很 tired ？
ru.45p 2u6cp3 tired k3 w03vu042l4gj94ek ru/ gp 2j x94xul3 vu vu 	就真的很 tired 阿 但見到帥哥精神都來了 吸吸
rm,6h6rm,6 pull 2u6su04s/6xu4g4m/4x96wul4el a84？	絕茲絕 pull 的念能力是用來跳高嗎？
ul wl3xjp4sk4gp6ak7rul4e.3ru.4xl35450 561i6wl3xjp6 good a83？	要討論那什麼校狗就老實點直白討論 good 嗎？
bj6xji3ul4t/6ru8 g/ y7ej/ al6mp6g6ru04qu3rul42ji  g/ eji qup354 good	如果要成家生子公務員時間比較多 生活品質 good
y94n4j0  2;4z03a94rm,6nk41u4rul4 good a84?	在台灣 當反派角色比較 good 嗎?
McGarrett good gj94 good man	McGarrett good 帥 good man
g.3u3fu06ul4yp3ak7cj8 qu6rul4 good ?	手尾錢要怎麼花比較 good ?
g.3jo3fu06 buy 2k7r20wu6su3dl 2u vu84fm ji 	手尾錢 buy 的r20是你尻的下去喔
2j/ t/6 vu gj4 1o4284xj4gj8 go6 good ?	東城 西野 北大路選誰 good ?
long large xk71i vu04xu06gj8 2u ru dji42j ao6u.4 gjo6x96ji3ru.4g;4	long large 了發現連選的機會都沒有 誰來我就上
2. vu86wji6x96ek4gk4c.41j4xu3ru.4 good x8 	都給他來個射後不理就 good 啦
u.31u/4ru.4e9 t gji41j6g4 buy 56vul 	有病就該吃藥不是 buy 直銷
d0 wj6q042j04ek3ejo3 d04 video ep cj;42j/41j6g4e/4 easy zp 	看圖判斷個鬼 看 video 跟晃動不是更 easy 分
vu04y945 2l40 286u.4g65 xo42u 2j  fast 1u04xl3ej3cjo ?	現在知道安達祐實之類的都 fast 變老骨灰?
dl41o3 ji32u4u6u03d04t/6"t/6bp6 video "XD	靠北 我第一眼看成"成人 video "XD
a/4au/6wu6wj/6u ek3t/6g4 t/6vu; t8 rm4 large 2u41j4dk3n u4	明明是同一個城市 城鄉差距 large 的不可思議
1ul35453ul4z;3fu4u45j/ 。vup ru045/ zj3hj/ ，n4j0  close vu4z835l4vu;4t/6xu4	表示只要放棄一中。新建政府從，台灣 close 係法照樣成立
583n0  small e04e0 e0 	插三 small 幹幹幹
cj86 good t/6g4gk4ru4t/6jo4u ek45p zo62j4	學 good 程式設計成為一個真肥宅
a04y.31j4nj/4 free ru42o3cjo6x94d0 Gbj03	慢走不送 free 記得回來看G軟
5o4w8 m/3u454vu04xul4，au/6su/4 open ru. wj06jp6	這太容易實現了，明年 open 糾團文
vu j;4 new 2k7u su06284ru8 rm0 wu ru04d;4	希望 new 的一年大家身體健康
rul42k7y4ru3h03 dk3u3fm fm04zj4aj3yl32ji4fm4n3 y4ru3 good ru, g. jo4t03	覺得自己慘 可以去勸父母早點去死 自己 good 接收遺產
g6ru0 wu6d04t;3g; 2u4ru4wj/3cl3a87，ep  117 cl6ai6 close vu4	時間是看廠商的系統好嘛，跟 117 毫無 close 係
5o4tj/6q861j3vu62;7t/6cj86rul32ji fu6ru, dk42k7fu/6dj;4ck4 normal	這種把補習當成學校多幾節課的情況和 normal
share u vu84ji3y941j3vu610 2k7ru/4xu4	share 一下我在補習班的經歷
bj6ck6m/4u4e. cj84b;4bp65 2l4y4ru354g; cp3 low ？	如何用一句話讓人知道自己智商很 low ？
1u04w94 good xk7 fast z8 fu06eo3ji3	變態 good 了 fast 發錢給我
ao6vu;3 clear ru.4ep vm6gp6fu0 2u4xul4cjo4yp3vu;4a83?	沒想 clear 就跟邪神簽約了會怎樣嗎?
su.6s93 hot bk4ck cj06u.4u;4zp4a86??	牛奶 hot 熱喝還有養分嗎??
20453g41u042o3gl jo zj sk4ak7 good vu g. 。2u,6j su.6bj35j/ 2k7ej/3j454ru 	但只是變得稍微不那麼 good 吸收。至於牛乳中的礦物質幾
jo3vu; aup6283x06fu.6dk3u3 open ZONE2u6a83	有鄉民打籃球可以 open ZONE的嗎
jo350 au/6fu4ru.4cp3g4。 video u6cji6x96cji6ao6so4m/3。	有點名氣就很跩。 video 也越來越沒內容。
tj wu6jo4m062j 2832ji4 good xul3，2u4u wu0 5 2l4？	出題委員都打點 good 了，第一天知道？
yp3ak7cl3vu;4d0 eji4xo4g42k7 rul4c.6y7fm4w. fu06cj06g4g86 small 2u 	怎麼好像看過類似的 叫猴子去偷錢還是啥 small 的
ru42k6vu0  buy jo4g/ 53	記得先 buy 衛生紙
u6j0 ej3qul4 large 5; 284ru8 2jo el4y.3el ，ru/3vu4gj9 wjo4c.4u 2jo qo6wul4cji4	台灣股票 large 漲大家追高走高，景氣衰退後一堆賠超過
rm0 1u0 2u4bp6u456su04 wjo njo6 large 5 cjo4 ru. g4ej;4h61o 	身邊的人一直念 追隨 large 智慧 救世廣慈悲
ccr ：j94eji6bp6ru.4g45j45j/4jo4g/ ，gjo35jp3 high	ccr ：外國人就是注重衛生，水準 high
18 p  large ai6j;6su3u04ru 19 bp6	巴恩 large 魔王你這雞掰人
su3q/6u.3s93cl3 small	你朋友奶好 small
2u04vu04c04 high rm42k7yj/ rul41ul m3wu6yp3ak7wu, 2u4	電線桿 high 處的宗教標語是怎麼貼的
cj06 good sk4n4g4ru j;6ru.4wjo4sji6xul4~~XD	還 good 那台是機王就退掉了~~XD
w96bj3dl4ru6vu/4fup ep u;4 tool bp6ru.4yj041l3xul4 sji4vm ul4 sell 87	台女靠吉性侵跟養 tool 人就賺飽了 那需要 sell 啊
cjo4183ej035;3 video j065/3d04dj0 2u wu6so35j/3bp6?	會把館長 video 完整看完的是哪種人?
ru03wk45j/3q.32jo4rul4ej0 u62u/4tl dji4qu42u6 good a83-..-	前特種部隊教官一定超會屁的 good 嗎-..-
jo3ao6u.45j4ru04j4+u;6w9 8.43qu/6 sell 1458j042u 186ej84	有沒有主建物+陽台8.43坪 sell 1458萬的八掛
good 2942u4u;6w96	good 大的陽臺
yk6yk6 fast fm45l3su3sk4ek3fu;6eji6ao4	嘖嘖 fast 去找你那個強國妹
breakfast 2u042. fu62ji4 open 2k7186ej84	breakfast 店都幾點 open 的八卦
good u;4cl35l4ej4g.4au/4t;6，bp4u;4vm061j4m/4cj8 ru03	good 養好照顧壽命長，認養還不用花錢
d832u sji4qu nji 2k7g6c.4，fu83g6sji4dj;6 new jp4cj06dk3u3xu.4vu84x9484	卡提諾被抄的時候，卡提諾狂 new 聞還可以留下來啊
u.4ao6jo3ru03e.4m/4ru.4 good 2u618 ej84?	有沒有錢夠用就 good 的八卦?
ji3u6rul42k7fu06e.4m/4ru.4 good 1su06284e94vm ul4200j04yji3u.4	我也覺得錢夠用就 good 1年大概需要200萬左右
good vu;3fu nj/ j 2k7su.6ru/3	good 想吃松屋的牛丼
jo6g6ak7w8 ru0 ul s86 long u3nl4183？	為什麼太監要拿 long 尾掃把？
fm, fu06cji4fm,  tool bp6cji4djo3vu04t/6xl3184 ru.453u.35k4fu65j/3dk3s/6	缺錢或缺 tool 人或缺現成老爸 就只有這幾種可能
ek61u4gjo3w83u.3 weird g/ vu;3e9 yp3104	隔壁水塔有 weird 聲響該怎辦
284ru8 fu0 tk ru3nj42k7ru3xj4g42ji  fast ？	大家開車極速的紀錄是多 fast ？
a/6rmp g. zj4vu 284xu4u042j04g41j6g4cp3 cold ap62u6ej84?	盟軍收復義大利這段是不是很 cold 門的卦?
ru xj/ VSw96s8  s87ek3 good ?so3ek3h03?	基隆VS台南 哪個 good ?哪個慘?
5k4xji4ru6ru.4ep cl3g.3ru.4u/4e9 ul4 accept eji6ru84t/6gl4qu6n94u u;4ejo3u4	這邏輯就跟好手就應該要 accept 國家徵召比賽一樣詭異
xj3jo4 586j4 dl3bj4 s87ek4 open xul31u4rm,6yj04？	滷味 炸物 烤肉 哪個 open 了比較賺？
su3ao6u.4vu862l42u04ru8 tj x96rup3q932u/ bp62ul4e8 y32j vm06 good x87	你沒有夾到店家出來緊迫盯人調夾子都還 good 啦
ugly u65k4ek42j/ vu wu6go61i a/42u 84?	ugly 一這個東西是誰發明的啊?
small ７ru.4wu6j4fu832u4vu0 fm u8  wj/3u6zj 5;3fu6w8 ru84yp3ak7e035; 	small ７就是物價的先驅呀 統一不漲其他家怎麼敢漲
u61j41i6rm xji ，su3ap6ru4vm4au,418 5.4su3ap6 good mp4ui ！2jo4xul4，ji32u 	一部跑車囉，你們繼續滅吧祝你們 good 運唷！對了，我的
u;6vu4，vm06zj 2. u6vu;4...m/42u6vu6ej04gjp4g.31u3vul4 important	詳細，還不都一樣...用的習慣順手比較 important
e; d04j062u04u/32u rm4fu/6 cl3vmp4vu ul3ep 284ru8  share	剛看完電影的劇情 好訊息要跟大家 share
93ai6vup4vu; e93103，yp3ak7 old cjo6 old 103g3m/4？	奇摩信箱改版，怎麼 old 回 old 版使用？
small g6u,31j694fu zo65j bj4，u ul3ru.4wj4，u4561o4284bp6a84qu0 g6	small 時也不愛吃肥豬肉，一咬就吐，一直被大人罵偏食
5k4u;4 match y4g62u4vu,3z83h96g45/4ru,3	這樣 match 事實的寫法才是正解
ji35jp31o4 good xul4	我準備 good 了
2u/3 good 294bjp4z8  ao3xu06gk4 ru87xul6zj6 94 buy vu ao3	頂 good 大潤發 美廉社 家樂福 愛 buy 義美
gji g6cj84ru.4 good xk7）-6fu,3g.3ru 041i g6g4y94vu04g; ，bj6xji3xu;6sm35p 	說實話就 good 了）而且手機案發時是在現場，如果梁女真
d04wu6go6xji6 el4h/6+j03gji jo3ru cjo4 t035jp3ru.3ru8 u/ e9 c96 good	看是誰囉 高層+關說有機會 單純酒駕應該還 good
ru,7ru03ao61u04c96dk3u3 accept qu06u710dj945p 2u cp3dl41o4	價錢沒變還可以 accept 便宜10塊真的很靠北
w8 g/ up 5p 2k7y04 dk3vu xu03vu/6gl  long	她聲音真的讚 可惜臉型稍 long
t6g4 bad bp6，vu0 184w8 e042l4j94z0 c.4， fast fm4wj3-3fu61841u/42j6g. y.3	她是 bad 人，先把她幹到外翻後， fast 去土耳其把病毒收走
9 ej849 ej84ru3 close xu3y86d.4 2j/32k7bp6y9 ru4nji4	唉卦唉卦幾 close 李砸扣 懂的人才幾歲
sm3g/ xu4fu45p 2u6qu3s06g/  small a84?	女生力氣真的比男生 small 嗎?
g4 small 8  u04ru,4d.3s/6n4 u ek3sm4np 10 1j42j/4 z.3cjo4xu;4bp6nj4?	是 small 啊 但藉口而已 一個女森搬不動 不會兩人搬?
xl3u41o4cp32ji bp6t 5; x;6xl3gj3 good a86...	老一輩很多人吃蟑螂老鼠 good 嗎...
2jo483。ao3y d0 su32k7u03tj ji32j  good m4u84。vu,4vu,4su3	對啊。每次看妳的演出我都 good 舒壓。謝謝妳
tj0 qj3jo4gp6ak7z. cj86eji n4au/6q86ru/45/42jo4g.3 buy vu84x96？	川普為什麼不學郭台銘把競爭對手 buy 下來？
buy ek413u4bp62u4wji u.4qu/6eji6ru8 ej03a87	buy 個13億人的拖油瓶國家幹嘛
n4fu06 d0 ru04w96j0 ru.4g4ej/ g4g.31i  HD high cj8454	以前 看見台灣就是公視首播 HD high 畫質
bp6g/ +1，rup wu0 y4fu;3cl4ru/ cji4g6 good vu;3wl6vu84fm4QQ	人生+1，今天自強號經過時 good 想跳下去QQ
eo3wji6gji su3y94 sell qu4ej3cj06d83594	給他說你在 sell 屁股還卡債
jo6g84 large dl3zp gj4n32. 1j45/4ejo4cj8 	為啥 large 考分數死都不正規化
long vm, al684~ long vm, al  c04n c96jo3xl3gj3qu6u, xm3	long 靴貓啊~ long 靴貓 漢斯還有老鼠皮耶魯
5p 2u653ul4jo3al ru.4u62u/4dji4u.3bp6 push a87？	真的只要有貓就一定會有人 push 嗎？
1;3ru84t/6su06s06y72k7s04596cp3 high a84？	綁架成年男子的難度很 high 嗎？
sk4g.3al6 good fu; cjo 87……njo b06ji3ru8 ao4ao4u,3u.3	那手毛 good 搶戲啊……雖然我家妹妹也有
1p3zo6tk4ru. 4 small 5 a83 large s935/ ao4	本肥宅揪4 small 隻馬 large 奶正妹
s93ek4g62/ xj/32u4g41j6g4 long cp3 high u.4g.4g.42u6	那個提燈籠的是不是 long 很 high 又瘦瘦的
su3ap65o4fmp6bp6 fast fm d04t/6ru !!!!!!!!!!!!!!!!	你們這群人 fast 去看成績!!!!!!!!!!!!!!!!
2ji4u450  mouse ru.4dk3u3j06xji7 ep d04qu04qu0 u6vu;4ru03504	點一點 mouse 就可以玩囉 跟看片片一樣簡單
u;4bp6 cost w94 high xul4....bp6u/4e9 wu6cj04b.41u3yjo42u 2u62j/4j4	養人 cost 太 high 了....人應該是換肉比最低的動物
ao6w.7ao6jo3y94ej/ vu,4 small	沒頭沒尾在公殺 small
noob ru 2ul42u4g;4u.42ji vup w/6？	noob 機掉地上有多心疼？
u.4dk3u3cj04u454 new 2u6xul3 d9 vmp 	又可以換一支 new 的了 開勳
z.3cji4su3ul d042l4hji c.4u4ru62k7tj z8 50  large hji4wk4hji4	不過你要看到最後一集的出發點 large 錯特錯
gp6 wu/ gji xu04c0 s932u61u4e042ul42j ep 5k4ru8 yj6jo3 close vu4	神 聽說連甘迺迪被幹掉都跟這家族有 close 係
s93g6c.453vu;3e03dj94 job yj04ru03cji6vu84x96-6u3	那時候只想趕快 job 賺錢活下來而已
xm3ej032u042/ y4fu3j032ul4wu6 normal 2u4a87？	旅館電燈自己關掉是 normal 的嗎？
mitas93 good large i4	mita奶 good large 喔
vu6ej04xk7...2jo4ful6cl3c.454 good	習慣了...對焦好後製 good
fu3tj;6ul3vu0 gj84u84cj06g4vu0 fu  breakfast	起床要先刷牙還是先吃 breakfast
gj3ru84 vup ru8 qi qu3rm,6 hot cj06g4b41p3284103	暑假 新加坡比較 hot 還是日本大阪
small 5 s84ROCbp6gji vup ru8 qi g4 small 5 s84 j86c8 c8 	small 支那ROC人說新加坡是 small 支那 哇哈哈
ru/4e03t/6ji3 large cj65l4	竟敢嗆我 large 胡桃
83su3u4fu0 g32j yji4t/6 good a8 u3ru.4cl4xk786	啊你一開始都做成 good 螞蟻就好了啊
gp g;453u.3j31i6m06ul4 buy go6？	身上只有五百元要 buy 誰？
t/6g6m4ej4vu04y94u6m,4x94cji6ck6vu,4，s86bp6g.3 short	誠實預告現在也越來越河蟹，拿人手 short
njo6g6583u dk3vu/62j/42u04m06ru.4 good x8 ，cj04ek4qu4	隨時插一顆行動電源就 good 啦，換個屁
j94eji6bp6u6dji4 care ru, ru,4a87？	外國人也會 care 祖籍嘛？
u.3bp6ru/4b061j45 2l4vu04y942u 561i 2j wu61i z;4xj4 good 2u  video	有人竟然不知道現在的直播都是播放錄 good 的 video
qu4 large g dj;42ul3286	被 large 師兄屌打
ul4yp3ak7ru/ hji  breakfast 2u04 h96s/6a931l3g6t8 	要怎麼經營 breakfast 店 才能買保時捷
2l4g6ul  buy gp6ak7tk 2j 1j6g4jp42u4xul4	到時要 buy 什麼車都不是問題了
-6fu,3e; cl4100su06ru.4cj86hk4au/6k6 large 1l41i sk4su06	而且剛好100年就學測名額 large 爆發那年
5j/4eji6 open 200j04w961u4ul fm  job a83？	中國 open 200萬台幣要去 job 嗎？
186ej84wu6，5j/ eji6 pay vu04y94eo3u6e0 ao6sji6ak7 good	八卦是，中國 pay 現在給台幹沒那麼 good
2ji u,4nji4rup ru,6su/6a/6sk6tj/6 hot up4q8 	多喝些金桔檸檬那種 hot 飲吧
vul3vul31u/ ( small cj;6bp6)fm061j42j g4ru83a83	小小兵( small 黃人)全部都是甲嗎
jo6g6ak7w9 j0 zj  in wji6wji6au3?	為什麼台灣不 in 他他米?
open w94 low 2k7s862l4OFFERc.4ru.4z;3ek y387	open 太 low 的拿到OFFER後就放鴿子阿
5p 2k7u.3bp6g6xu;4u04ak7 small a87……？	真的有人食量這麼 small 嗎……？
cj8 2j/ au3 large pk	花東米 large pk
g/4ru,6g6g41j6g4up jo42;4tj 1o45/32u6 video 53cl3ru,6cjp 	聖結石是不是因為當初被整的 video 只好結婚
ej/ n0  small e04 ejp3	公三 small 幹 滾
dj/31j4wj6q0456ru, x87co ru.4 good	恐怖圖片直接拉黑就 good
e; ap61o4n9 bj4u4j4vm ul42ji  large 2u4m/3vu4	肛門被塞入異物需要多 large 的勇氣
u.4ao6jo3t/ cj8 2u  new ru6w8 g.3cp3vu;4SLASH2u 186ej84？	有沒有槍花的 new 吉他手很像SLASH的八卦？
so3ek4u03mp6u04fu6t8 dk3wu62u04u/3 sell yji4？	哪個演員演技差可是電影 sell 座？
5p 2u4cp3bk4k  fm n3 good a86	真的很若阿 去死 good 嗎
ck vu84su3h;6 good 2u 294	喝下你藏 good 的毒
e04 bp45p d04so4jp6y9 1i vu04su32l42u3y94ej/ n0  small 83c8 c8 c8 c8 c84	幹 認真看內文才發現你到底在公三 small 啊哈哈哈哈哈
x94... bad xk7！ru ...j93xul4！	懶... bad 了！機...歪了！
z5 fu/4ejp3fm4q8 w96a 	ㄈㄓ請滾去吧檯 good ㄇ
ji3vu;3 buy z;6y7，q;6ru84dji4wj6a86	我想 buy 房子，房價會跌嗎
dk3s/6g4up jo6vul3dk 2.3ap7y94xu3au04tj/45j;42k7 close vu4q8 	可能是因為小蝌蚪們在裡面衝撞的 close 係吧
vul3vul3u4ql649dj94,ep 1p3g4q06y3h96dj94fm4 buy	小小一包49塊,根本是盤子才會去 buy
vu;3cj/6dl4y4fu3 good a86?	想紅靠自己 good 嘛?
1j4djo4wu61u0 m06bp6 idea 。	不愧是邊緣人 idea 。
m3dj4xu3au041p x94ru.4z.3u/ e9 tj0 2k7 good a87	雨褲裡面本來就不應該穿的 good 嗎
u.4ao6u.4aj4hjp jp6s93 short z84wul4cl3d042u618 ej84?	有沒有木村文乃 short 髮超好看的八卦?
gji 2l42u4-4294， new t3aup62u4-42942jo4w9 j0 bp4wj/62ji6qu6j94x945j/4el 	說到第二代， new 移民第二代對台灣認同度比外來種高
vu86u4wu6，s84su3ru4vm4t KMT2k7g3 good xul3	假議題，那你繼續吃KMT的屎 good 了
wji62k7h6cp394j6u u62u 2jo45;4 vu;4g4d0 3 large d043 small	他的詞很愛無意義的對仗 像是看3 large 看3 small
g.4u.4vm/ 1j4 large 2k7sm3g/  2842ji g4wu0 g/ n 54cji4wu6Kg?	瘦又胸部 large 的女生 大多是天生麗質或是Kg?
jo4ck4s84vu, vu0 rup4eji6ru842k7d83tk u,3g45o4ak7 pretty vu0 u04	為何那些先進國家的卡車也是這麼 pretty 鮮艷
up jo4jp 294 u8 bk4294eji6ru84 el jo32j4eji6ej 1p x94wul ru04ru.4qu3rul4 good	因為溫帶 亞熱帶國家 高緯度國家本來條件就比較 good
vm06 good ji32j 2l4vu042;4 buy	還 good 我都到現場 buy
su3dk3u3y94fm4vu,3u ek4 new 2u6FB	你可以再去寫一個 new 的FB
open ej/ t;3g41j6g4cp3cl4yj04？？	open 工廠是不是很好賺？？
5p 2u6cp3cl4yj04k3 fast fm4ru,4fu06 open u ru8 	真的很好賺阿 fast 去借錢 open 一家
ru03203 vu/3x94ru.4 good	簡單 醒來就 good
jo bj032u6SMB2l42u3g4g84 feature ？	微軟的SMB到底是啥 feature ？
good 123Y	good 123Y
z035/4g4ru,4g;4bp6sji4ak72ji  1i6q.3au/6yji6n3ru3g6xu;3193bp6ao6 close vu4x87	反正世界上人那麼多 拍部名作死幾十兩百人沒 close 係啦
u.3ao6u.4u6gj;  good ru fu0 2u vu,6y7tj0 fu3x94wu6g6ak7e03rul4	有沒有一雙 good 幾千的鞋子穿起來是什麼感覺
redwingfm ao3eji6 buy 1j4m/4sk6ak7ejo486	redwing去美國 buy 不用那麼貴啊
dk3s/6j;4xul45j/ dj8 aup6eji6n4j0 vu/3wu6y4ru32u4 close vu4。	可能忘了中華民國台灣省是自己的 close 係。
ao6wj6vm06e03gji u. jp6 b06c.4 fast ru/ vu/3	沒圖還敢說優文 然後 fast 醒醒
5j/ u/ ru6ej04294eji6 good c96g4vul3eji6xup6xu4zp4fm06 good	中央集權大國 good 還是小國林立分權 good
s062u4cj06sm32u48  rul 294 clear 1o7	男的還女的阿 交代 clear 唄
284gj g41j6g494d0 j3vu86tj0 cji6 small gji 87？	大叔是不是愛看武俠穿越 small 說啊？
dk4x8 dk4su3fu;4n0  small x8 	克拉克你搶三 small 啦
e9 yp3ak7cjo6u/ sm3u.3ep ji3gji “d04n0  small ”	該怎麼回應女友跟我說“看三 small ”
18 xk4n w03g41j6g4cp3njo  small ?	巴勒斯坦是不是很雖 small ?
rm,6g4 good ru04 vm,3up42l  cji xup6ru04 s83184yjo4y04？	絕世 good 劍 雪飲刀 火麟劍 哪把最讚？
qi4dj4jo4gp6ak7dji4 in 84?	破褲為什麼會 in 阿?
5p 2k7wu/3 cheap ! vm06 good 2;72;4t86xk7aup6fu qu/6fu83～tl t9 2u6...	真的挺 cheap ! 還 good 當場查了民宿評價～超差的...
cp3 ugly u6j0 sm3g/ jp3ru/3cp3294ep 1p zj 2u6ck6...	很 ugly 台灣女生眼睛很大根本不適合...
vu;3gk434 full xu03 vu;3q86xu3s94n94ap4ap4 dj;6t. a/3nj/4nji 2j y7	想射34 full 臉 想把禮奈塞滿滿 狂抽猛送沙督子
wu0 rup  large 1l4584jo xu42/3m6ru4ek358420454j6？	天津 large 爆炸威力等於幾個炸彈之母？
d0 cji4j065/31032u u6294yj/ g u.4gp6ak7 good gji yjo32u4？	看過完整版的一代宗師有什麼 good 說嘴的？
(t/6vup z8 jp4)1; rul4ao4 buy ru8 rm4ul35.4u gp6ak7??	(誠心發問)幫學妹 buy 家具要注意什麼??
c04fu/6 good 5p 2u6dj94cj/6tj04u6wul6dj4y7a83？	感情 good 真的會共穿一條褲子嗎？
wu/ gji wjo jp6tj/ ap4xm4196g93dji4jo3 good a/6?	聽說推文充滿綠白色會有 good 夢?
q/6u.32u  large ql4ao62835j/4vm06504n3yp3ak7104?	朋友的 large 砲沒打中還戰死怎麼辦?
ru tk y94 new 1o4284ful g;4ej45;4yp3ak71042u 186ej84??	機車在 new 北大橋上故障怎麼辦的八卦??
good ，ep z83ej0 gji fm ，d04wji6ul41j4ul b;4su32; cl3bp6。	good ，跟法官說去，看他要不要讓你當好人。
2862k7u/6ej03 long a86	打得贏館 long 嗎
KOBEdj94vu04aj4<cj04x06 pro >xu3vu;6u;6njo42u6w/65p a87?	KOBE會羨慕<灌籃 pro >裡翔陽隊的藤真嗎?
u;61j4e.4t c96ul rup4d.3xu/32j/4u;6bj4（vu;3vu/3 cost 2u4g; ru8 xu,4j94）	羊不夠吃還要進口冷凍羊肉（想省 cost 的商家例外）
ji3yl3ru.4d9 g3xul3 ep g;4 good a84	我早就開始了 跟上 good 嗎
vu;3aup6ap4dk3u3yji42l4 perfect 2u u3z83vm06t96a83？	鄉民們可以做到 perfect 的依法盤查嗎？
long 2k7vu;45p4cl4s06dj941j6cjo4qu4vm0658 ?	long 得像陳浩南會不會被盤查?
w96j0 s06sm3tj ejo3，jo4gp6ak7sm3g/  easy qu4m06xu;6？	臺灣男女出軌，為什麼女生 easy 被原諒？
x/3xu;6fu83 good xu42jo4qi42.42jo4hl hj x96vu03a94e86j8 ru/ n3su4	冷涼卡 good 哩對霸豆對造粗來洗賣嘎挖驚死逆
u86cjo4dj94u.3 good 2u a86？？	邪會會有 good 的麻？？
3000dj942u4rm,6103ejo4j8 e9  buy a86？	3000快的絕版娃娃該 buy 嗎？
jp653wjo e; vul6 1j4 push fu6w8 y42u4wu6g6ak7vu;42u6bp6?	文只推肛洨 不 push 其他字的是什麼樣的人?
cj8 ru03m/4e042k7ru.4 good ，c06a86rm k4	花錢用幹的就 good ，幹嘛娶啊
dl3vu/4xul4 good a86	考性了 good 嗎
buy eji7vm/ 2u4vu;4103zj4XD	buy 過兄弟象版服XD
xu3au04jo3ru8 tj6g 2u4 small au4au4	裡面有加廚師的 small 秘密
sk6g4 M.J. 2u ful6q96 2j/4yji6 fu/4 d0  video	那是 M.J. 的招牌 動作 請 看 video
xl3g vu.4cp3 normal wj/6vm,6h96zj cjo4gjo4rul4	老師臭很 normal 同學才不會睡覺
z042u04zj42u6 dinner u4ek4bp6ru.43000xul4...	飯店附的 dinner 一個人就3000了...
jo3ao6u.42.4t/6 large cp3e0 e842u 186ej84？	有沒有讀成 large 很尷尬的八卦？
zj eo3ru03ru.41j4nj04 sell xul3?	不給錢就不算 sell 了?
small g6c.4t ej9 ej9 ，jo4xul4xu3au042u4vul3a04cj84	small 時候吃乖乖，為了裡面的小漫畫
5j ru03fm4 buy u06，283d9 x96rm b06wu6w;6，cjo6fm4jp4xl3103gji ao6vu 84	之前去 buy 鹽，打開來居然是糖，回去問老闆說沒錯啊
z;6y7c96ao6e94 good ru.4u.3bp6y4g94	房子還沒蓋 good 就有人自殺
vu,4 good g3ej/ b4zj4 gji u.3bp6y4n84ul4u06503ej/ fu 	寫 good 施工日報 說有人自殺要延展工期
gjo3ru/ s06c96 Couple ru.4103vup 103s93ek4 version 1u3rul4 good wu/ ?	水晶男孩 Couple 舊版新版哪個 version 比較 good 聽?
zp4xo4qu6rm,6 good wu/ 	分類比較 good 聽
vul3S 8 u6ru,6aj4w8 ji4qu4 large xj4wu/61i ，2941ul3？	小S 阿姨節目太噁被 large 陸停播，代表？
